Company

Bharat Forge
Future Group
Aditya Birla Group
Hero MotoCorp
Vedanta
Godrej
JSW Ispat Steel
TVS Group
Larsen & Toubro Limited
ITC Limited
DMart
Essel Group
Nirma Limited
Ashok Leyland
Asian Paints
Biocon
Colgate – Palmolive India Ltd
Deloitte
Cognizant
Bajaj Group
Hero Group
Escorts Limited
Jindal Group
GMR Group
GVK Group
MRF Limited
Amara Raja Group
Emami Group
Shriram Group
GMR Infrastructure Limited
Indiabulls Group
UB Group
Tech Mahindra Limited
Tata Consultancy Services
Larsen & Toubro Infotech
Future Retail
Arvind Limited
Grasim Industries Limited
UPL Limited
